INSTANCE_ID,IMAGE_ID,INSTANCE_TYPE,INSTANCE_LUNCH_TIME,AVAILABILITY_ZONE
i-06a9651204901ef4a,ami-01eccbf80522b562b,t2.micro,2024-03-26 00:36:35+00:00,us-east-1a
i-0208fde93a22c6667,ami-01eccbf80522b562b,t2.micro,2024-03-26 00:36:35+00:00,us-east-1a
